size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.273877 0.328987
2 0.438739 0.548009
3 0.657535 0.692628
4 1.01258 0.817617
5 1.2656 0.90569
6 1.5183 0.984455
7 1.77158 1.04417
8 2.02488 1.09338
9 2.27838 1.13585
10 2.531 1.17291
11 2.78452 1.20579
12 3.03784 1.23228
13 3.29027 1.25779
14 3.54368 1.27971
15 3.79727 1.29903
16 5.26278 1.31617
17 5.59458 3.7276
18 5.92417 3.94319
19 6.25088 4.16797
20 6.58174 4.38721
21 6.90814 4.60443
22 7.23832 4.82595
23 7.56469 5.04575
24 7.89803 5.26358
25 8.22634 5.47939
26 8.55521 5.70487
27 8.87881 5.92319
28 9.21078 6.14347
29 9.54536 6.36239
30 9.86883 6.57835
31 10.2052 6.80076
32 10.5331 7.01489
33 8.3509 7.25229
34 8.60481 7.50577
35 8.8596 7.7651
36 9.10902 8.0143
37 9.36574 8.26176
38 9.61509 8.52153
39 9.86893 8.79803
40 10.1264 9.0522
41 10.3775 9.29755
42 10.6292 9.5683
43 10.8834 9.815
44 11.1379 10.0869
45 11.392 10.3908
46 11.6453 10.5889
47 11.8964 10.865
48 12.145 11.1872
49 12.4024 11.4129
50 12.6568 11.6448
51 12.9079 11.8677
52 13.1652 12.0893
53 13.4197 12.3382
54 13.665 12.5853
55 13.9183 12.7965
56 14.1825 13.0457
57 14.4359 13.2805
58 14.6778 13.5736
59 14.9301 13.7806
60 15.1892 13.955
61 15.4356 14.216
62 15.6875 14.4992
63 15.9517 14.6096
64 16.1985 14.9101
65 11.9043 14.9995
66 12.1057 15.0909
67 12.2911 15.0828
68 12.5243 15.1632
69 12.7272 15.1988
70 12.9381 15.2677
71 13.1506 15.288
72 13.3591 15.3573
73 13.3518 15.3051
74 13.5209 15.3981
75 13.7181 15.3875
76 13.9002 15.403
77 14.0862 15.4391
78 14.2591 15.4481
79 14.4368 15.4424
80 14.6176 15.4442
81 14.8315 15.5947
82 15.0479 15.8505
83 15.2523 16.0416
84 15.4777 16.2234
85 15.6911 16.4281
86 15.8855 16.6178
87 16.1094 16.8106
88 16.3327 17.0285
89 16.2729 17.1912
90 16.4528 17.3689
91 16.6351 17.6017
92 16.8213 17.7741
93 17.0141 17.9772
94 17.1814 18.1563
95 17.379 18.3539
96 17.5555 18.5636
97 17.7609 18.5813
98 17.9785 18.5668
99 18.201 18.5358
100 18.1571 18.031
101 18.6214 18.6036
102 18.8538 18.555
103 19.0592 18.6087
104 19.2952 18.6015
105 19.752 18.5932
106 19.9422 18.5863
107 20.1319 18.5723
108 20.3278 18.5451
109 20.5051 18.5174
110 20.7094 18.4986
111 20.8931 18.4583
112 21.0827 18.4142
113 21.3129 18.5797
114 21.5253 18.749
115 21.7511 18.9191
116 21.983 19.0898
117 22.2072 19.2481
118 22.4379 19.4088
119 22.669 19.587
120 22.91 19.7374
121 23.4445 19.9054
122 23.6033 20.076
123 23.8198 20.2331
124 23.9841 20.383
125 24.2008 20.5488
126 24.3712 20.7115
127 24.6015 20.8757
128 24.776 21.0472
129 24.8367 21.039
130 24.9212 21.0384
131 24.9506 21.0289
132 24.9779 20.994
133 25.0154 20.9863
134 25.0489 20.9618
135 25.0749 20.9354
136 25.1018 20.9056
137 26.5313 20.8771
138 26.7323 20.8427
139 26.8734 20.8221
140 27.0796 20.7866
141 27.293 20.7237
142 27.5061 20.6887
143 27.6514 20.6599
144 27.8718 20.5869
145 27.9642 20.7514
146 27.9516 20.8792
147 28.007 21.0253
148 27.9874 21.1709
149 28.0402 21.2968
150 28.0311 21.4535
151 28.0138 21.609
152 28.069 21.7423
153 29.6045 21.8802
154 29.7718 22.0136
155 30.0311 22.1588
156 30.2025 22.2981
157 30.373 22.4398
158 30.5553 22.5867
159 30.7412 22.7337
160 31.0077 22.8807
161 31.0371 22.8598
162 31.0445 22.8484
163 31.0355 22.8084
164 31.0379 22.7708
165 31.0448 22.7534
166 31.0369 22.7272
167 31.0251 22.6709
168 31.035 22.6453
169 29.6856 22.6088
170 29.8188 22.5696
171 30.0149 22.5312
172 30.1937 22.4753
173 30.3609 22.4157
174 30.5738 22.3747
175 30.7568 22.3342
176 30.844 22.2712
177 30.9149 22.3953
178 30.8893 22.5369
179 30.8652 22.6321
180 30.7992 22.7836
181 30.7723 22.8858
182 30.7134 23.0295
183 30.6771 23.1598
184 30.645 23.2871
185 29.138 23.392
186 29.2911 23.5439
187 29.4569 23.6574
188 29.6211 23.7893
189 29.7943 23.9286
190 29.9595 24.0358
191 30.1204 24.1486
192 30.2029 24.3068
193 30.2699 24.2713
194 30.2873 24.2299
195 30.305 24.1808
196 30.3243 24.1646
197 30.281 24.1219
198 30.2962 24.0903
199 30.3055 24.0528
200 30.3224 23.9985
201 31.6646 23.9539
202 31.8578 23.9138
203 31.9596 23.8634
204 32.1555 23.8043
205 32.3439 23.7468
206 32.4544 23.7091
207 32.6421 23.6628
208 32.6539 23.6054
209 32.8126 23.7127
210 32.7671 23.819
211 32.7888 23.9241
212 32.7346 24.0385
213 32.7651 24.1444
214 32.7177 24.2572
215 32.7609 24.373
216 32.6948 24.4848
217 34.2264 24.6049
218 34.3544 24.7138
219 34.5152 24.8375
220 34.6803 24.9511
221 34.8122 25.0694
222 35.0313 25.1925
223 35.1493 25.3145
224 35.163 25.4023
225 35.3521 25.3653
226 35.295 25.3172
227 35.231 25.2953
228 35.2948 25.2704
