size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.261196 0.267091
2 0.438722 0.438606
3 0.657498 0.651084
4 1.01199 1.01114
5 1.26553 1.26541
6 1.51377 1.5151
7 1.7715 1.77137
8 2.0239 2.02349
9 2.27755 2.27781
10 2.53008 2.5285
11 2.78311 2.78335
12 3.03695 3.03661
13 3.29021 3.29028
14 3.54279 3.54192
15 3.79244 3.79216
16 5.25767 5.26241
17 5.59076 5.59105
18 5.91951 5.92045
19 6.25186 6.24991
20 6.57623 6.57847
21 6.90778 6.90576
22 7.23727 7.23626
23 7.5668 7.56401
24 7.88875 7.88663
25 8.22025 8.22163
26 8.54691 8.55232
27 8.87805 8.88181
28 9.20842 9.20721
29 9.50355 9.53188
30 9.86316 9.86851
31 10.1926 10.1953
32 10.524 10.4887
33 8.34414 8.34258
34 8.59098 8.59932
35 8.85728 8.85417
36 9.11032 9.11197
37 9.36306 9.36469
38 9.61442 9.60941
39 9.86773 9.86185
40 10.1231 10.1247
41 10.3726 10.3662
42 10.6248 10.6218
43 10.8631 10.8704
44 11.1282 11.1358
45 11.3874 11.388
46 11.6453 11.6393
47 11.8871 11.887
48 12.1364 12.1401
49 12.3963 12.4015
50 12.6576 12.6509
51 12.9032 12.893
52 13.1395 13.1494
53 13.4137 13.4102
54 13.6627 13.6565
55 13.9177 13.911
56 14.1585 14.1628
57 14.4124 14.4125
58 14.6732 14.6736
59 14.9299 14.9255
60 15.187 15.1726
61 15.4193 15.4159
62 15.6732 15.6812
63 15.9494 15.948
64 16.1988 16.1434
65 11.904 11.9006
66 12.1023 12.1025
67 12.3058 12.3107
68 12.5242 12.5191
69 12.725 12.7239
70 12.9211 12.9298
71 13.1206 13.1274
72 13.3558 13.3552
73 13.5569 13.5526
74 13.7679 13.7691
75 13.9786 13.9769
76 14.1873 14.1788
77 14.4094 14.4036
78 14.6263 14.6209
79 14.8268 14.8237
80 15.0197 15.0299
81 14.8241 14.8286
82 15.0467 15.0409
83 15.2459 15.2464
84 15.4561 15.4566
85 15.6656 15.6691
86 15.874 15.8797
87 16.1042 16.1008
88 16.3153 16.3017
89 16.5159 16.5183
90 16.7355 16.7461
91 16.9569 16.9702
92 17.1806 17.186
93 17.3984 17.3882
94 17.6239 17.6201
95 17.8322 17.7967
96 18.0644 18.068
97 17.7603 17.7642
98 17.9702 17.9607
99 18.1801 18.1611
100 18.4207 18.4128
101 18.6193 18.6129
102 18.8458 18.8519
103 19.0503 19.0564
104 19.2914 19.2826
105 19.5086 19.5027
106 19.7277 19.7208
107 19.9428 19.9423
108 20.1332 20.1367
109 20.3899 20.3939
110 20.6316 20.6142
111 20.8344 20.8237
112 21.0626 21.0471
113 21.2988 21.2919
114 21.5192 21.5185
115 21.7411 21.743
116 21.9698 21.9772
117 22.1987 22.204
118 22.4346 22.4332
119 22.6607 22.662
120 22.9069 22.8726
121 23.107 23.1076
122 23.3401 23.3553
123 23.6037 23.5314
124 23.8091 23.8166
125 24.0596 24.065
126 24.2789 24.2902
127 24.4892 24.4978
128 24.7745 24.769
129 24.835 24.8247
130 24.8588 24.8611
131 24.8889 24.8946
132 24.9689 24.9664
133 25.0056 25.0183
134 25.0358 25.0458
135 25.0611 25.0719
136 25.1087 25.0986
137 25.1425 25.1125
138 25.1193 25.1122
139 25.1558 25.1451
140 25.1722 25.1808
141 25.1921 25.1973
142 25.1904 25.2014
143 25.2068 25.2212
144 25.233 25.2291
145 27.892 27.8761
146 27.9493 27.941
147 27.9283 27.9227
148 27.9806 27.9761
149 27.9762 27.9653
150 28.0199 28.0264
151 28.0098 28.0166
152 28.0617 28.0302
153 27.9834 27.9725
154 28.0296 28.0251
155 28.0327 28.0198
156 28.0698 28.0668
157 28.0541 28.0439
158 28.0047 27.9897
159 28.0277 28.0302
160 28.0223 28.0274
161 31.0183 30.9519
162 31.0285 31.0019
163 31.0113 31.0255
164 31.0353 31.0276
165 31.0054 31.0064
166 31.0081 31.0118
167 31.0154 30.9828
168 31.0082 30.9434
169 30.9197 30.8247
170 30.7864 30.8332
171 30.8996 30.9071
172 30.7363 30.739
173 30.8147 30.8428
174 30.798 30.8269
175 30.757 30.7504
176 30.6944 30.7193
177 30.8449 30.7435
178 30.8442 30.8451
179 30.7546 30.7165
180 30.7193 30.6673
181 30.6782 30.6921
182 30.6614 30.6598
183 30.5783 30.6203
184 30.6042 30.4887
185 30.5043 30.5185
186 30.2807 30.2341
187 30.4425 30.449
188 30.4215 30.2935
189 30.3909 30.3824
190 30.3388 30.3323
191 30.2831 30.2607
192 30.1138 30.1234
193 30.257 30.2422
194 30.2702 30.2771
195 30.2919 30.2994
196 30.3172 30.3206
197 30.2631 30.2646
198 30.2887 30.2818
199 30.3176 30.3073
200 30.2568 30.084
201 30.2785 30.2652
202 30.2884 30.2786
203 30.2476 30.2469
204 30.2139 30.2036
205 30.1675 30.1734
206 30.1988 30.2117
207 30.2021 30.1806
208 30.0728 30.0791
209 32.8115 32.8032
210 32.748 32.7222
211 32.7798 32.776
212 32.7373 32.7218
213 32.7677 32.7543
214 32.7171 32.7057
215 32.7269 32.7315
216 32.6717 32.6959
217 32.6691 32.4633
218 32.6093 32.6765
219 32.598 32.6101
220 32.6305 32.6207
221 32.5475 32.5487
222 32.5284 32.53
223 32.5453 32.522
224 32.3703 32.3477
225 35.3317 35.3136
226 35.2746 35.292
227 35.2282 35.2314
228 35.1704 35.1451
229 35.2188 35.2306
230 35.1794 35.1937
231 35.1218 35.1178
232 35.1093 35.0993
233 35.1113 35.0968
234 35.0545 35.0443
235 35.017 34.9376
236 34.9575 34.9442
237 34.9855 34.9803
238 34.9084 34.9111
239 34.8792 34.8906
240 34.6962 34.7092
241 34.7837 34.8026
242 34.7709 34.7875
243 34.7619 34.7696
244 34.682 34.6766
245 34.6243 34.6098
246 34.5991 34.5875
247 34.5192 34.5131
248 34.5098 34.4974
249 34.439 34.4291
250 34.3491 34.3623
