size(bytes) Cmemmove(GB/s) Dmemmove(GB/s)
1 0.270321 0.269264
2 0.438476 0.436734
3 0.65816 0.658107
4 1.01199 1.01248
5 1.2656 1.26571
6 1.51812 1.51869
7 1.77103 1.77173
8 2.02505 2.02504
9 2.27834 2.27698
10 2.53159 2.53165
11 2.78277 2.78432
12 3.03797 3.03791
13 3.28832 3.29075
14 3.5441 3.54375
15 3.79479 3.79707
16 5.26428 5.2644
17 5.59385 5.59528
18 5.92459 5.9248
19 6.25328 6.25331
20 6.58248 6.58261
21 6.90933 6.90904
22 7.23813 7.23844
23 7.5675 7.56752
24 7.89821 7.89826
25 8.22715 8.22646
26 8.554 8.55564
27 8.88208 8.88194
28 9.21766 9.21736
29 9.5453 9.54527
30 9.86978 9.86799
31 10.2057 10.2052
32 10.5332 10.533
33 8.35099 8.35131
34 8.60395 8.60359
35 8.85948 8.85903
36 9.1138 9.11386
37 9.36614 9.36613
38 9.61593 9.61561
39 9.86615 9.86921
40 10.1265 10.1265
41 10.3774 10.3774
42 10.6297 10.6294
43 10.78 10.6678
44 11.1369 11.139
45 11.3907 11.3906
46 11.6456 11.6455
47 11.8965 11.8967
48 12.1454 12.144
49 12.4033 12.4025
50 12.6579 12.6581
51 12.9064 12.9049
52 13.1584 13.1492
53 13.4192 13.4205
54 13.6653 13.6651
55 13.9192 13.9193
56 14.182 14.1825
57 14.4349 14.4359
58 14.6789 14.678
59 14.9302 14.93
60 15.1897 15.1899
61 15.4354 15.4347
62 15.6897 15.69
63 15.9522 15.9536
64 16.1982 16.1963
65 11.883 11.8825
66 12.0606 12.0609
67 12.2442 12.244
68 12.4331 12.4328
69 12.6119 12.6122
70 12.7956 12.7955
71 12.9873 12.9867
72 13.1667 13.1667
73 13.5691 13.5675
74 13.7703 13.7689
75 13.9927 13.993
76 14.2068 14.197
77 14.4184 14.4211
78 14.629 14.6275
79 14.8414 14.8417
80 15.0493 15.0497
81 15.2464 15.2332
82 15.435 15.4358
83 15.6211 15.6206
84 15.8078 15.8083
85 16.0013 16.0019
86 16.1737 16.175
87 16.3767 16.3765
88 16.5694 16.5683
89 17.0255 17.0244
90 17.2297 17.2303
91 17.4603 17.4623
92 17.6608 17.6628
93 17.9137 17.9151
94 18.1315 18.1327
95 18.3533 18.3529
96 18.5818 18.5817
97 18.7826 18.784
98 18.9851 18.9518
99 19.1598 19.1597
100 19.3733 19.3666
101 19.5489 19.5497
102 19.7377 19.7388
103 19.9256 19.9256
104 20.1172 20.116
105 20.0679 20.067
106 20.2974 20.2975
107 20.5289 20.5283
108 20.7711 20.7718
109 20.9781 20.9777
110 21.2262 21.2211
111 21.4397 21.4396
112 21.6994 21.6545
113 21.8765 21.8785
114 22.0629 22.0627
115 22.2515 22.2542
116 22.443 22.4421
117 22.6373 22.6369
118 22.8341 22.8339
119 23.0323 23.0327
120 23.2373 23.236
121 23.1525 23.1128
122 23.3597 23.3584
123 23.6139 23.6105
124 23.8193 23.8232
125 24.076 24.0751
126 24.2879 24.2857
127 24.5598 24.5588
128 24.7773 24.7789
129 24.954 24.9534
130 25.1917 25.1316
131 25.3764 25.3765
132 25.559 25.558
133 25.7511 25.7499
134 25.9419 25.9437
135 26.1365 26.1336
136 26.3362 26.3314
137 25.1408 25.1442
138 25.1675 25.1622
139 25.1769 25.158
140 25.1811 25.1816
141 25.2212 25.2194
142 25.2415 25.2401
143 25.2229 25.2233
144 25.2622 25.2629
145 25.4834 25.4856
146 25.6382 25.6415
147 25.8326 25.8296
148 25.9839 25.9809
149 26.181 26.1813
150 26.3378 26.3364
151 26.4952 26.4974
152 26.7028 26.7031
153 25.3269 25.3255
154 25.3109 25.3106
155 25.2804 25.2794
156 25.2663 25.2709
157 25.2531 25.2535
158 25.2491 25.2501
159 25.1951 25.1914
160 25.1527 25.1474
161 25.4013 25.4052
162 25.537 25.5363
163 25.7107 25.7142
164 25.8511 25.8488
165 26.0386 26.0377
166 26.1655 26.1651
167 26.3502 26.361
168 26.4963 26.4972
169 27.966 27.9588
170 27.9613 27.9483
171 27.9089 27.9054
172 27.8589 27.8655
173 27.8153 27.8119
174 27.819 27.8181
175 27.7632 27.7633
176 27.6602 27.6626
177 27.897 27.8985
178 28.0469 28.0464
179 28.1947 28.1996
180 28.3516 28.3523
181 28.5042 28.5084
182 28.7275 28.7154
183 28.8857 28.8813
184 29.0475 29.0458
185 30.6244 30.6087
186 30.5497 30.5498
187 30.4831 30.486
188 30.4421 30.4439
189 30.4052 30.3941
190 30.3507 30.3495
191 30.3081 30.2984
192 30.205 30.2086
193 30.3999 30.3985
194 30.5716 30.5761
195 30.7399 30.7406
196 30.9193 30.9211
197 31.1022 31.0834
198 31.1972 31.1971
199 31.3844 31.3903
200 31.5716 31.5697
201 30.281 30.2825
202 30.2927 30.2999
203 30.3119 30.3066
204 30.2743 30.2749
205 30.2808 30.2739
206 30.2194 30.2146
207 30.2183 30.2167
208 30.0859 30.0816
209 30.3791 30.3781
210 30.52 30.5104
211 31.4792 31.481
212 30.7786 30.7809
213 30.9508 30.9501
214 31.0819 31.0828
215 31.2704 31.2707
216 31.3672 31.369
217 30.0349 30.0356
218 29.8513 29.8805
219 29.9491 29.9417
220 29.9268 29.9157
221 29.915 29.921
222 29.8351 29.8369
223 29.8202 29.8202
224 29.6778 29.665
225 31.1387 31.1344
226 31.1226 31.1237
227 31.0402 31.0407
228 31.049 31.0504
229 30.9559 30.9494
230 30.7255 30.8028
231 30.8631 30.867
232 30.8758 30.8766
233 30.9844 30.983
234 31.1609 31.1555
235 31.2502 31.2471
236 31.4375 31.4389
237 31.5345 31.5292
238 31.6168 31.6242
239 31.8023 31.803
240 31.7461 31.7412
241 32.093 32.0937
242 32.1919 32.1893
243 32.3053 32.3018
244 32.4919 32.4884
245 32.5951 32.5915
246 32.6962 32.6977
247 32.8879 32.8918
248 33.0105 33.0101
249 33.1141 33.1142
250 33.2506 33.2181
251 33.4108 33.4143
252 33.5207 33.523
253 33.6295 33.6252
254 33.8317 33.7943
255 33.9606 33.9557
256 33.8777 33.887
500 40.4183 40.4148
700 43.6706 43.6714
3434 34.5872 34.573
7128 35.1928 35.1932
13908 35.3712 35.3188
16343 35.2851 35.2811
27897 35.7766 35.7881
32344 35.7756 35.7746
46830 32.9656 32.9592
64349 33.1624 33.1648
ldc2 -O3 -m64 benchmarks.d Dmemset.d
./benchmarks
